,anthill_id,name,food_storage,total_ants,scenario_id
0,a51ad0ca-d77b-4e28-8753-36044bf265d2,Spartans,64,15,aba4de2b-03e4-464e-bbcf-c326e964e794
1,09470ac6-9deb-4e0d-91c3-f80097848d6f,Jedi,102,99,aba4de2b-03e4-464e-bbcf-c326e964e794
2,2ba25767-9ef1-40aa-ad4a-668bf51314b3,Spartans,34,15,10ff55f4-1812-4e3a-9e5c-529434201cc5
3,43a0990f-600e-434a-9b2d-82016fcea635,Jedi,101,99,10ff55f4-1812-4e3a-9e5c-529434201cc5
4,0308be01-9ae7-472b-9b9f-4c9dbc23b236,Spartans,31,15,f4d9ae61-a655-4f94-96c0-a6409515f543
5,7a366677-481c-46cb-89bd-091d92a3c870,Jedi,104,99,f4d9ae61-a655-4f94-96c0-a6409515f543
6,25e6ed1e-496b-494a-8119-eea3d4cbd62d,Spartans,31,15,f28a371a-bc1d-4fe6-a6b8-bb4a0a94e037
7,94081dfc-3f4c-424a-a132-8c35046368ef,Jedi,104,99,f28a371a-bc1d-4fe6-a6b8-bb4a0a94e037
8,b3d658b3-b9d5-454c-8ba4-4fa6e8f73dd6,Spartans,58,15,50c54137-b18d-4549-b5f4-caf8eb5b76ab
9,fbae123a-be6b-4df7-b7a5-14a00f93d456,Jedi,102,99,50c54137-b18d-4549-b5f4-caf8eb5b76ab
10,14629148-53a8-431d-852b-bec393be9b9e,Spartans,31,15,d036dda6-51b4-4a79-b812-d00217b2614e
11,9c1df5f9-7d95-4135-9c83-14e45e785423,Jedi,103,99,d036dda6-51b4-4a79-b812-d00217b2614e
