,food_id,initial_volume,current_volume,scenario_id
0,5f27594a-365d-4496-ba26-95469a913fc0,9,0,44c2b511-01a2-4708-9741-d290987ef597
1,0c321d3c-3b1c-44dc-af35-35dfa35ab9ee,9,0,5a71f789-673d-4fc3-adb5-61f6abffe8d6
2,03d4e9db-f5c5-4cea-b58d-98d327feabf1,9,0,e6dd7ca1-48a9-4479-a705-c00b62c55264
3,6124d9b1-362c-43de-b9eb-58c7ff6ed449,9,9,56ecfa91-24b6-4b9d-99d3-46af3274bf90
4,a36ab3e1-ade2-450e-b4c9-da63babf9e3d,9,0,aea0b275-88a7-44b3-8672-3d286b01f33c
5,0710a783-a9af-4b24-92f1-9b786e6fa32b,9,0,f20c0dab-7196-4bb4-a7cb-4a544281c384
6,3f9ce65a-0312-4ed6-aaee-1037455ed9df,9,0,bdcda235-56f7-42be-9fb4-8b1b6e9de9ca
7,7a925423-8146-4721-86d9-75e53c83ab05,9,0,a3ec885e-6aa5-4562-a63b-a680628c849d
8,9595b29b-2e3f-4fca-b148-c107d8351df4,9,0,1acd31c5-e28d-4361-afd4-516994967935
9,70fab3ca-c1a9-417c-9941-4f786d5bfdf5,9,0,26fc4949-80a7-405d-8ea3-7f1d2ab12d6b
10,b26fa27d-a3b6-4d0f-89cb-26d4535ab295,9,0,8cfaf300-da96-4383-9000-cbf4ce6aa647
11,7dc99e3b-aec3-49e1-9d76-17173f738827,9,0,6405677a-6e0f-448d-b934-0d4628ab391b
12,9d9f61d6-71aa-48e4-bd71-3a41ae9240c0,9,0,a3cc5af9-bdae-48fd-be42-415c3757182a
13,b3581e0c-2fd5-4adf-bb9f-1c30adeae1a2,9,0,3f54071c-8256-44df-92dc-5260e8a3f36f
14,310de8cf-ad3c-4109-91be-82a0e2208f66,9,0,6c3ea376-1ba7-417b-8b1b-f7f5d042685b
15,8eb068d8-765f-413e-8a56-0d395fccf121,9,0,348c9843-433b-4459-b807-48fce61d67fb
16,82d5d3ba-967b-4b01-b288-64887e759ab8,9,0,1d7caf2f-dd0d-4c58-ba3d-60a026ee944b
17,c335b985-efff-4446-a8f6-79cc379c3155,9,0,a3e5c383-07f3-4531-8337-9257d93bb366
18,15f5f32e-ea83-4b23-9a0e-473f2699a68b,9,0,cac8b36a-27d7-4035-b401-ba52ece9b679
19,b5afe1f9-1e63-42d1-9078-3d063e541c89,9,0,24d13bd0-caed-4385-bbeb-2576cd4610f4
20,adcbaefe-00d9-4152-a1da-0d611755d2ea,9,0,22ddddda-ac79-4a3a-b6e8-9cfa92bd6be8
