,ant_id,captured_food,searching_food,anthill_id
0,23ec5031-1688-45d0-aa24-1441090d511e,1,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
1,60497ab5-2041-4061-8f20-839634d81a0e,1,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
2,f788df02-cb53-448a-bb11-a671125b31b7,3,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
3,1f637626-8c7a-4fc0-b1db-c2ef1af0b315,2,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
4,cd2a2976-a2fa-4193-95d0-49cc397dcfed,0,0,4fc4d4e3-303d-45c8-ad72-777d7914b33d
5,102ccfd2-aa3f-4cae-ae38-cecc37625898,0,0,4fc4d4e3-303d-45c8-ad72-777d7914b33d
6,51265a20-42c2-4bfb-8865-f163f553868d,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
7,ff0fefab-1742-44dc-804f-dc0a3bfc3451,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
8,ceea2fcd-c3aa-44fd-b9be-f17701e86ac7,0,0,22b5ac87-4c33-4102-8776-02f8b142c5d6
9,d10622e8-8dad-406f-966a-6bf0c703bbd2,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
10,20652d73-2c43-4581-9327-fd8116168c46,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
11,260d7a67-5752-4358-9a81-699ea190e9d0,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
12,3211066a-5df9-4b9d-8fe4-40dc623b25cc,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
13,a8979b77-595c-4c7c-be5e-07919c9ad1b4,0,0,22b5ac87-4c33-4102-8776-02f8b142c5d6
14,965e9497-4caf-486b-91f8-92af6f312eb7,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
15,e58a4c59-45f4-4f39-aeae-9c3578bfd6e9,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
16,9e074e2f-f7d5-4352-8ba1-2f2c87767a7a,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
17,6bb5fdf0-a88d-4534-bed4-478ea03d6ce3,2,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
18,4e294e5f-f273-4be2-8583-23407d004cf1,2,0,4fc4d4e3-303d-45c8-ad72-777d7914b33d
19,31560fdc-9745-4548-882e-06f4f465d354,1,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
20,98d98667-d5e9-4afe-a400-088971de8a46,1,0,4fc4d4e3-303d-45c8-ad72-777d7914b33d
21,1125af47-1428-482f-bf92-58e17d54d697,3,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
22,264b1af4-e45f-42fa-a236-227f129f2171,3,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
23,43f404f4-1482-433c-b6a2-27291fb21f5e,2,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
24,9e3d1dca-064d-488a-aeac-1e95bcd298f1,0,0,4fc4d4e3-303d-45c8-ad72-777d7914b33d
25,99268da0-b384-4898-82bb-03aabd5295b7,2,1,4fc4d4e3-303d-45c8-ad72-777d7914b33d
26,435281a6-416b-4feb-877d-0f249881f35f,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
27,429415a9-9fdc-4dc6-afbc-54acbd22e5d7,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
28,18d5c8e9-4a14-4a1c-9f6d-89ed90aa7f3d,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
29,37f79f4d-462d-4c87-bb50-15987066ca03,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
30,ae7420b5-a4dc-4c1e-bf13-47d0ff501889,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
31,4e684820-e581-4203-9cc6-16bfeffafd88,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
32,9b38ad72-5955-4385-ba3a-30967b748a9d,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
33,146558f6-026a-4747-bdcb-11e0cd6c8358,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
34,68a62d38-f436-4449-83eb-6310381ec51d,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
35,3d5d16c4-26d0-4872-b0d3-042fb6c26434,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
36,da9c320b-e595-4313-9fc4-0efe624bf982,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
37,6aa8047d-1d21-4e41-a9ed-5462d0b785e5,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
38,e34cb491-ae99-4cd8-9fc1-f1222e355178,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
39,5bf6356a-684f-46a5-b5ce-40b02fb815d6,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
40,736d46ed-13a2-43b2-a1b2-1f6ffc56884b,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
41,17607a0e-e980-4bec-a4d9-d2e0848c5ca1,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
42,7272e15e-94da-44dc-83eb-851b57e9d216,0,0,22b5ac87-4c33-4102-8776-02f8b142c5d6
43,78a0e892-0abe-40eb-b426-069164f35911,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
44,bdcc27ec-c04b-4fde-aff6-9fbf28304cb2,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
45,6c7e373a-24ff-4cfc-94f1-c18d0cc6d5c9,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
46,fdbea7a5-f5bf-4edb-b64c-3516dbc72f85,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
47,297813bf-8aa2-4ffb-839b-c9bd643a0d8e,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
48,7810fc18-22b3-44ff-adf6-d72411fedcdc,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
49,750f9708-0019-4dfe-b9a8-d3f8b71a9ef6,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
50,b1df9003-04dc-44b7-ab80-63246889c08a,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
51,587d1dc6-ad2d-4b88-b4f9-0ee1cc732e1b,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
52,319bb435-bf3c-4fb8-b2dc-cc63124ec47d,0,0,22b5ac87-4c33-4102-8776-02f8b142c5d6
53,96c5768f-d7a1-406f-ae34-10264e527f14,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
54,0b8ee144-3559-4c6e-af82-a673cbe681fc,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
55,f793fadc-064c-471f-aeb0-5ba6914346c8,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
56,391508ee-7c3b-4937-b9a1-32012a3c3e8e,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
57,a82670da-f25c-49d7-ab9f-0a948aa849da,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
58,50d7ed96-3af6-40ad-821a-21d9bc5a4655,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
59,3dd43a0e-2a6a-4d74-94b1-b369c04caa86,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
60,6c78fd9d-6ece-4ffe-82d5-843226a6612a,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
61,71c7e6c4-6326-4491-8628-947885b638c7,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
62,4d103a0a-f7e7-4e9d-8edc-7635f92deb05,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
63,3776b085-1be4-4c6e-a31a-2e5683cd12f2,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
64,1fc8b5ea-3833-43bd-88d8-bf4c2ee3aa7d,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
65,df904e0c-b80b-444e-8d76-4dd2cada567d,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
66,4ee1a404-4982-44cc-8b45-f0db08f444e3,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
67,0973765c-4729-49f1-a29e-f0bafb2b84bb,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
68,00511370-7ada-4848-b117-e6ac20c8b946,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
69,4aa5ae43-340a-454a-bee1-4c6391e1e089,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
70,0a7ed8dc-fb30-4d7e-a1dc-79ed1cb4e69b,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
71,2c610b87-19f5-4990-ae6f-112b997242f6,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
72,6ba964ad-2249-4cfb-b62a-5dd785b117ef,0,0,22b5ac87-4c33-4102-8776-02f8b142c5d6
73,75589e43-c5d8-4c26-9092-7dfedd2df9e1,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
74,6499f884-68fb-4211-9b00-3cbc41a1c8f7,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
75,f75a4e81-1f32-4475-abc6-b8a04e612e68,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
76,fe43bff5-4541-4d52-bce6-6615cf9a01aa,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
77,c2e1498d-5df0-4e3b-bfe1-68986d9b7129,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
78,4f36655f-fc58-43f0-a480-76973e81550d,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
79,f899f12d-69c6-438c-b569-47075b402bce,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
80,21de6e0d-c314-45ea-8d71-35bdbe4c9adf,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
81,5c633b41-f455-49b4-a728-a51e1097984b,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
82,57b7e050-189f-4246-a16f-e93848dab36c,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
83,03952add-223d-4daa-8337-345ab7b05403,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
84,f44460d2-6bd9-4050-8d8f-3c485a72ff31,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
85,e8a6dd47-e86b-4f5d-86d0-2ffd3bbacbd5,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
86,17ddc472-86f5-4f54-99ba-f7dc58e4fcb9,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
87,bac9f9ba-681c-4664-96f1-79f85daed01b,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
88,126a02ec-5207-4c61-b472-b422c357ed2c,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
89,f0f11d71-1eff-4400-ac65-bd7b011dbeb3,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
90,98d05400-c932-480c-ade5-daa5a351b271,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
91,e5554bb4-2c69-4c47-8730-6eb7f39b671b,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
92,9433f503-fe48-45db-b0da-9dbda1e43a0a,1,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
93,a00deb11-7ea1-4e57-bc2f-dd9cd806e2c3,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
94,5e907b22-c659-47ef-877f-28ebc67263e5,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
95,5c024fe8-9ac8-4896-8647-0760d29f134e,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
96,b1c373ff-dbc4-423a-92ec-6906101cc644,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
97,5377dbe5-c0bb-41ab-a067-051819d3e322,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
98,c05b9827-4356-4389-8606-a59cd96f5659,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
99,c2b95f4c-98f3-491c-9952-7aabcc430160,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
100,81305d0f-652e-40b5-98f7-b5d4574597f7,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
101,e6d26b06-c176-4778-9175-5db39935d38b,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
102,3ebd7995-1812-496f-802a-50605e44fec7,0,1,22b5ac87-4c33-4102-8776-02f8b142c5d6
