,scenario_id,execution_time,active
0,d0d50b93-34a7-4120-b3ab-19d7f858eef5,65,0
1,99edf55a-fe60-420a-8382-8745582d876a,71,0
2,711273bf-2319-4dc4-9f8f-07c690989e1f,68,0
3,063297b0-9951-4d83-9364-f8d368a59fc7,52,0
4,82b5881d-7e34-41b4-ae9d-f19e44d75f59,53,0
5,8e91ae50-ae5f-436b-8034-0e573034e2b8,37,0
6,cfce9333-7441-4634-9480-a5f79eda46b2,36,0
7,266699a9-36d6-4cc1-86bf-60c156e18a83,39,0
8,6def1d63-04c4-48f9-b507-9531c08b63a5,39,0
9,a95bbee0-f81f-4468-ad78-d234a3cd03ff,44,0
10,94126d76-2dfa-42b8-8108-8dc06d46c9c5,33,0
11,9cdc3cf3-6acd-47e9-a33f-077f470d3e68,32,0
12,8bb00af7-de96-48c8-b134-0e145b0d3118,35,0
13,fbeb51ab-bb18-4140-9b4c-f39b5a3c9827,36,0
14,3f8466bd-bffc-4605-ae9c-cc19a213c09e,37,0
15,8696adb0-b709-4a8f-9811-c189ff3168e2,39,0
16,6dc9adf4-60ed-4b08-afe1-f92f47060c35,54,0
17,8c418644-90a7-4e5b-9321-a7aec9ff4e14,36,0
18,a83a8d18-cc08-4b47-832c-048d55326a0c,40,0
19,6a420ff1-0fc0-4a29-b871-cd7573796213,59,0
20,de2915e4-e67a-4ed6-ab84-886b5c819bc8,37,0
21,1b61fcf8-25f4-4ddb-ac66-41c9df52e0c3,37,0
22,c6c92e99-a903-4457-bcbd-0780ba9d37de,70,0
23,008fd6b0-1561-45b6-9d74-332993deccf4,36,0
